id,id_mapper,chapter,kapitelbezeichnung,bezeichnung,finaler_beschluss,snomed_code,descriptor,equi_final,finales_konzept,equ_jens,equ_mareike,agreement,map,kapitel
1,9f6,01-01,01 Stammdaten,Geburtsdatum,ddmmyyyy,184099003,DOB - Date of birth (observable entry),"Equivalence of meaning; lexical, as well as conceptual",1,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,1
1,83f,01-01,01 Stammdaten,Geburtsdatum,ddmmyyyy,184099003,DOB - Date of birth (observable entry),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,1
1,605,01-01,01 Stammdaten,Geburtsdatum,ddmmyyyy,184099003,DOB - Date of birth (observable entry),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,1
2,605,01-02,01 Stammdaten,Geschlecht,1 „männlich“,248153007,Male (finding),"Equivalence of meaning; lexical, as well as conceptual",1,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,1
2,9f6,01-02,01 Stammdaten,Geschlecht,1 „männlich“,248153007,Male (finding),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,1
2,83f,01-02,01 Stammdaten,Geschlecht,1 „männlich“,248153007,Male (finding),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,1
3,9f6,01-02,01 Stammdaten,Geschlecht,2 „weiblich“,248152002,Female (finding),"Equivalence of meaning; lexical, as well as conceptual",1,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,1
3,83f,01-02,01 Stammdaten,Geschlecht,2 „weiblich“,248152002,Female (finding),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,1
3,605,01-02,01 Stammdaten,Geschlecht,2 „weiblich“,248152002,Female (finding),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,1
4,9f6,01-02,01 Stammdaten,Geschlecht,Geschlecht,263495000,Gender (observable entity),"Equivalence of meaning; lexical, as well as conceptual",1,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,1
4,605,01-02,01 Stammdaten,Geschlecht,Geschlecht,263495000,Gender (observable entity),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,1
4,83f,01-02,01 Stammdaten,Geschlecht,Geschlecht,263495000,Gender (observable entity),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,1
5,605,01-03,01 Stammdaten,Versichertenstatus,1 „GKV ohne Zusatzversicherung“,no map,NA,No map is possible,,No map is possible,No map is possible,TRUE,1,1
5,83f,01-03,01 Stammdaten,Versichertenstatus,1 „GKV ohne Zusatzversicherung“,310115006,Public health service (qualifier value),No map is possible,2,No map is possible,No map is possible,TRUE,1,1
5,9f6,01-03,01 Stammdaten,Versichertenstatus,1 „GKV ohne Zusatzversicherung“,no map,NA,No map is possible,,No map is possible,No map is possible,TRUE,1,1
